Şehir,Nüfus,Optimum Population,Surplus_Deficit
Adıyaman,415273,1439682.12500636,-1024409.12500636
Afyonkarahisar,458364,1472987.14770749,-1014623.14770749
Aksaray,316264,987428.02121583,-671164.02121583
Amasya,248218,407372.77102576,-159154.77102575998
Ardahan,39990,2580850.78573351,-2540860.78573351
Artvin,104669,2019935.32547227,-1915266.32547227
Ağrı,309721,1563793.38929794,-1254072.38929794
Bartın,98273,963679.32610066,-865406.32610066
Bayburt,49606,208049.29855869,-158443.29855869
Bilecik,188528,1082229.74455357,-893701.7445535699
Bingöl,189424,1110097.58473442,-920673.5847344201
Bitlis,231921,2158647.31314298,-1926726.31314298
Bolu,236509,1419720.28539271,-1183211.28539271
Burdur,194949,1731549.35317041,-1536600.35317041
Denizli,1059082,1944529.17050966,-885447.1705096599
Edirne,317759,470596.30979897,-152837.30979897
Erzincan,180988,384081.36328937,-203093.36328937003
Eskişehir,915418,2295008.80810019,-1379590.27276188
Giresun,291331,823603.03843897,-532272.03843897
Gümüşhane,73744,1241000.10039941,-1167256.10039941
Hakkari,184962,979500.66870876,-794538.66870876
Isparta,337134,468638.60381257,-131504.60381256999
Iğdır,123254,283202.78889955,-159948.78889954998
Kahramanmaraş,1116618,1135778.6304074,-19160.630407399964
Karabük,191371,2092668.92929506,-1901297.92929506
Karaman,201272,1713022.98668063,-1511750.98668063
Kars,148028,1260096.74161643,-1112068.74161643
Kastamonu,240908,953423.27765203,-712515.27765203
Kırıkkale,244097,800803.61498364,-556706.61498364
Kırklareli,275529,546897.02207552,-271368.02207552
Kırşehir,197834,856713.22468883,-658879.22468883
Kilis,121803,562486.60716966,-440683.60716966004
Konya,2320241,2440921.73749047,-120680.73749047006
Kütahya,421114,819095.99979907,-397981.99979906995
Malatya,742725,1494941.8350419,-752216.8350418999
Muğla,1066736,1348845.19000236,-282109.1900023599
Muş,193151,711527.59575021,-518376.59575021
Nevşehir,208585,736660.1634679,-528075.1634679
Niğde,224536,955283.5654128,-730747.5654128
Osmaniye,429060,785765.17683727,-356705.17683727003
Rize,221458,349525.91760988,-128067.91760987998
Samsun,1377546,2037534.66190623,-659988.66190623
Siirt,238284,871354.87261938,-633070.87261938
Sinop,140139,1397436.42231872,-1257297.42231872
Sivas,481942,671679.09314453,-189737.09314452996
Tokat,393914,499511.72952946,-105597.72952946002
Trabzon,824352,994647.64588279,-170295.64588278998
Tunceli,57898,783347.95931169,-725449.95931169
Uşak,287144,2883187.13691276,-2596043.13691276
Van,1127612,1822758.16779374,-695146.16779374
Yalova,220802,1885318.0171028,-1664516.0171028
Yozgat,276470,573653.67171921,-297183.67171921
Zonguldak,372627,490390.00288618,-117763.00288618001
Çanakkale,353263,679282.16306489,-326019.16306488996
Çankırı,135700,1028768.4906196,-893068.4906196
Çorum,388640,749523.3727405,-360883.3727405
Şırnak,383388,1096841.58873472,-713453.5887347199
