Şehir,Nüfus Yoğunluğu
Adana,163
Adıyaman,86
Afyonkarahisar,52
Aksaray,58
Amasya,60
Ankara,237
Antalya,130
Ardahan,19
Artvin,23
Aydın,148
Ağrı,45
Balıkesir,89
Bartın,100
Batman,139
Bayburt,23
Bilecik,53
Bingöl,35
Bitlis,51
Bolu,39
Burdur,41
Bursa,308
Denizli,91
Diyarbakır,121
Düzce,160
Edirne,69
Elazığ,71
Erzincan,21
Erzurum,30
Eskişehir,66
Gaziantep,317
Giresun,68
Gümüşhane,23
Hakkari,40
Hatay,265
Isparta,54
Iğdır,58
Kahramanmaraş,78
Karabük,62
Karaman,30
Kars,27
Kastamonu,30
Kayseri,85
Kırıkkale,63
Kırklareli,60
Kırşehir,39
Kilis,109
Kocaeli,582
Konya,60
Kütahya,48
Malatya,63
Manisa,113
Mardin,101
Mersin,125
Muğla,83
Muş,50
Nevşehir,59
Niğde,51
Ordu,130
Osmaniye,179
Rize,89
Sakarya,227
Samsun,152
Siirt,63
Sinop,40
Sivas,23
Tekirdağ,185
Tokat,61
Trabzon,177
Tunceli,12
Uşak,71
Van,58
Yalova,360
Yozgat,30
Zonguldak,179
Çanakkale,57
Çankırı,27
Çorum,41
İstanbul,3013
İzmir,373
Şanlıurfa,118
Şırnak,80
